Model,Color,Retail_Price($),Release_Date,Number_of_Sales,Avg_Sale_Price($),Price Premium (%)
Air Force 1 Foamposite Cup Triple Black,Black/Black-Black ,200,2/3/18,697,105,-63
Nike React Element 87 Undercover Green Mist,Green Mist/Linen-Summit White ,180,9/13/18,690,391,131
Nike React Element 87 Undercover Light Beige Chalk,Light Biege Chalk/Signal Blue ,180,9/13/18,645,311,56
Air Foamposite Pro Sequoia,Sequoia/Black-Team Orange ,230,8/16/18,431,175,-33
LeBron 16 Fresh Bred,Black/Black-University Red ,185,9/20/18,387,163,-28
Nike Zoom Fly SP Breaking 2 (2018),White/Sail-Bright Crimson ,150,5/7/18,364,113,-54
Air Foamposite One Denim,Obsidian/Black-University Red ,230,9/28/18,349,183,-9
Jordan 1 Mid South Beach (GS),Turbo Green/Black-Hyper Pink-Orange Peel ,90,10/1/18,345,138,76
Nike React Element 55 Black Aurora Green,Black/Aurora Green-Cool Grey ,130,9/29/18,329,151,-8
Jordan 6 Retro Tinker,White/Infrared 23-Neutral Grey-Obsidian ,190,10/6/18,316,193,3
Jordan 5 Retro Wings (GS),Multi-Color/Multi-Color ,160,9/29/18,313,213,39
Jordan 1 Mid Gym Red Black (GS),Gym Red/Black-White ,90,6/1/18,250,101,9
Air Force 1 Ultra Flyknit Low RKK New England Patriots (2018),University Red/College Navy-White ,160,10/5/18,215,267,34
Nike React Element 55 Black White,Black/White ,130,9/29/18,215,142,-4
Nike Zoom VaporFly 4% Flyknit Bright Crimson,Bright Crimson/Ice Blue-Total Crimson ,250,10/4/18,181,354,20
Jordan 1 Mid Multi-Color Swoosh (GS),Black/White-University Red-Tour Yellow ,90,6/1/18,175,123,66
Air Max 270 Bowfin Black Desert,Black/Phantom-Desert-Cone ,160,9/26/18,165,188,#VALUE!
Jordan 7 Retro Low Taxi,Taxi/Taxi-Black-White-Cardinal Red ,140,9/27/18,131,149,-7
Nike React Element 87 Blue Chill Solar Red,Black/Cool Grey-Blue Chill-Solar Red ,160,10/11/18,93,245,38
Jordan 6 Retro Tinker (GS),White/Infrared 23-Neutral Grey-Obsidian ,140,10/6/18,87,121,-11
Nike Zoom Fly Undercover Gyakusou Black,Black/Sail-Mineral Yellow-Black ,190,10/4/18,86,228,11
Nike Zoom Fly Undercover Gyakusou Blue,Blue Nebula/Sail-Black-University Red ,190,10/4/18,73,228,11
Jordan 1 Mid Black Cone,Black/Cone-Light Bone ,110,9/15/18,70,119,5
Jordan 10 Retro Tinker,Racer Blue/Team Orange-Black ,190,10/20/18,55,185,-3
Nike React Element 87 Knicks,Wolf Grey/Black-Thunder Blue ,160,10/11/18,51,213,22
Air Force 1 Low Utility White Black,White/White-Black-Tour Yellow ,100,10/1/18,49,119,20
Nike Zoom Fly Undercover Gyakusou Ink,Ink/Sail-Dark Grey-Black ,190,10/4/18,41,216,-5
Jordan 11 Retro Platinum Tint,Platinum Tint/Sail-University Red-Black ,220,10/27/18,36,313,25
Nike React Element 87 Black Neptune Green,Black/Midnight Navy-Neptune Green ,160,10/11/18,28,219,31
